facebook.com,173.252.120.6
youtube.com,216.58.217.46
yahoo.com,98.138.253.109
live.com,65.55.206.154
wikipedia.org,198.35.26.96
msn.com,23.101.196.141
baidu.com,180.149.132.47
blogspot.com,216.58.217.41
microsoft.com,134.170.185.46
qq.com,163.177.65.160
taobao.com,110.75.115.70
bing.com,204.79.197.200
sina.com.cn,202.108.33.60
soso.com,106.120.151.169
163.com,123.58.180.7
ask.com,66.235.120.127
adobe.com,192.150.16.117
twitter.com,199.59.150.7
mozilla.com,63.245.217.194
youku.com,111.13.127.48
andysayler.com,162.243.49.20
wmfo.org,23.92.21.128
amazon.com,205.251.242.54
wordpress.com,192.0.78.17
tudou.com,123.126.98.150
yahoo.co.jp,182.22.59.229
sohu.com,123.125.116.19
apple.com,17.142.160.59
hao123.com,123.125.115.150
windows.com,134.170.188.221
ebay.com,66.135.216.190
pps.tv,58.83.190.154
xunlei.com,163.177.79.253
56.com,59.32.213.232
fc2.com,54.148.51.207
paypal.com,66.211.169.3
sogou.com,220.181.124.2
tmall.com,110.75.115.70
ku6.com,122.11.45.243
rakuten.co.jp,133.237.48.124
about.com,207.241.148.80
orkut.com.br,74.125.202.86
ifeng.com,210.51.19.61
goo.ne.jp,153.254.147.65
bbc.co.uk,212.58.244.20
yandex.ru,213.180.193.11
myspace.com,216.178.46.224
mail.ru,94.100.180.200
cnet.com,64.30.224.118
go.com,199.181.131.249
4399.com,115.182.52.231
orkut.com,74.125.202.86
skype.com,91.190.216.21
ameblo.jp,180.233.142.129
naver.com,125.209.222.141
flickr.com,69.147.76.173
4shared.com,208.88.224.137
amazon.co.jp,54.240.252.0
linkedin.com,199.101.163.129
dailymotion.com,195.8.215.139
imdb.com,207.171.166.22
aol.com,207.200.74.38
hotmail.com,157.56.172.28
360.cn,106.120.167.66
craigslist.org,208.82.238.129
weather.com,96.8.83.132
soku.com,220.181.185.143
alibaba.com,205.204.96.36
renren.com,220.181.181.222
livedoor.jp,125.6.149.67
blogger.com,216.58.217.41
vkontakte.ru,95.213.4.247
answers.com,67.196.156.65
rapidshare.com,78.46.142.98
daum.net,114.108.157.19
7k7k.com,115.182.59.33
2345.com,42.62.30.180
photobucket.com,209.17.68.100
mediafire.com,205.196.120.12
ehow.com,23.227.2.46
seesaa.net,59.106.28.139
paipai.com,112.90.77.176
alipay.com,110.76.20.33
softonic.com,46.28.209.20
nifty.com,222.158.213.148
imageshack.us,208.94.0.46
cnn.com,157.166.226.25
tianya.cn,124.225.135.222
mywebsearch.com,74.113.233.48
zynga.com,184.75.170.150
partypoker.com,83.231.239.70
hp.com,15.217.232.245
walmart.com,161.170.248.20
kugou.com,14.18.236.182
ebay.de,66.211.181.235
youdao.com,61.135.218.30
qiyi.com,101.227.22.157
pconline.com.cn,219.136.245.40
odnoklassniki.ru,217.20.147.94
jp.msn.com,23.101.196.141
